26.8501	1013.9082	60.4062	-7.8704	
26.8952	1013.9305	60.3465	-8.0645	
26.9303	1013.9356	60.2966	-8.1096	
26.9654	1013.9407	60.1949	-8.1547	
26.9854	1013.9201	60.1908	-7.9764	
26.9553	1013.8961	60.2461	-7.7677	
26.9503	1013.8875	60.2666	-7.6932	
26.9704	1013.9493	60.19	-8.2292	
26.9654	1013.9132	60.1483	-7.9166	
26.9804	1013.9115	60.1129	-7.9019	
27.973	1013.8492	57.4033	-7.3863	
28.0131	1013.8076	57.3895	-7.0261	
28.0381	1013.8505	57.3647	-7.3993	
28.0582	1013.8848	57.3033	-7.6979	
28.0432	1013.804	57.2974	-6.9952	
28.0532	1013.8762	57.3031	-7.6233	
28.0432	1013.749	57.3026	-6.5165	
28.0482	1013.6749	57.2873	-5.8729	
28.0532	1013.6835	57.3446	-5.9475	
28.0732	1013.6352	57.3351	-5.5277	
25.4916	1016.1353	71.0268	-27.0108	
25.5317	1016.1493	71.1585	-27.135	
25.5868	1016.1343	71.2913	-27.011	
25.6069	1016.1413	71.478	-27.0731	
25.637	1016.193	71.6552	-27.5201	
25.6771	1016.2344	71.7201	-27.8803	
25.7071	1016.1764	71.6915	-27.3835	
25.7372	1016.1183	71.6476	-26.8865	
25.7573	1016.1527	71.7006	-27.1846	
25.7773	1016.1597	71.7382	-27.2466	
27.676	1017.2515	67.0264	-36.8701	
27.6713	1017.2554	67.3157	-36.9039	
27.6641	1017.2671	67.5687	-37.0043	
27.6559	1017.2566	67.4389	-36.9122	
27.6462	1017.2417	67.4848	-36.7817	
27.6324	1017.2558	67.4373	-36.9026	
27.6199	1017.255	67.4674	-36.8936	
27.6014	1017.2456	67.3059	-36.8103	
27.5842	1017.2521	67.8529	-36.8647	
27.5672	1017.2523	67.1277	-36.8644	
28.6146	1017.5365	60.7997	-39.4579	
28.6096	1017.583	60.9085	-39.8607	
28.5846	1017.5124	61.2915	-39.2456	
28.5896	1017.4935	61.5306	-39.0818	
28.5796	1017.5589	61.7014	-39.6483	
28.5745	1017.5228	61.5142	-39.3342	
28.5645	1017.5607	61.4618	-39.6617	
28.5695	1017.5693	61.1193	-39.7369	
28.5846	1017.54	61.1617	-39.4846	
28.5996	1017.5933	61.1417	-39.9492	
28.5144	1017.5298	60.4829	-39.3874	
25.088	1017.4427	71.7767	-38.1926	
25.0862	1017.4394	71.9101	-38.1646	
25.0833	1017.4414	71.9663	-38.1814	
25.0827	1017.4318	72.1871	-38.0987	
25.0821	1017.4307	72.3206	-38.0893	
25.0827	1017.4455	72.3001	-38.2161	
25.0821	1017.4615	72.2693	-38.3537	
25.083	1017.4477	72.3104	-38.2355	
25.0812	1017.4342	72.4797	-38.1194	
25.0821	1017.441	72.5055	-38.1775	
26.6846	1017.6355	67.2748	-40.0594	
26.6897	1017.6167	67.5436	-39.8975	
26.6596	1017.5925	67.4641	-39.685	
26.6696	1017.6097	67.599	-39.8348	
26.6897	1017.6991	67.6365	-40.6078	
26.7197	1017.6134	67.6644	-39.8733	
26.7348	1017.6392	67.6448	-40.098	
26.7448	1017.629	67.6867	-40.011	
26.7699	1017.672	67.6833	-40.3855	
26.7899	1017.6515	67.6847	-40.2114	
27.2611	1017.6362	65.4786	-40.1423	
27.2361	1017.6482	65.022	-40.2422	
27.201	1017.6154	64.9836	-39.9547	
27.1759	1017.6548	65.3905	-40.2918	
27.1659	1017.6651	65.6277	-40.3791	
27.1408	1017.6221	65.5227	-40.0043	
27.1208	1017.6151	65.1078	-39.9417	
27.1208	1017.6976	65.4594	-40.6534	
27.3163	1017.6484	64.7787	-40.2549	
27.3313	1017.7017	64.8003	-40.7174	
30.4468	1015.5562	42.3737	-22.3947	
30.4525	1015.5491	42.552	-22.3333	
30.4593	1015.5471	42.6255	-22.3159	
30.4628	1015.5514	42.636	-22.3539	
30.4618	1015.5667	42.4368	-22.4873	
30.4535	1015.566	42.3213	-22.4807	
30.4471	1015.5517	42.3108	-22.3552	
30.4289	1015.5645	42.2634	-22.4658	
30.4311	1015.5548	42.2896	-22.3812	
30.4356	1015.5523	42.3683	-22.3597	
