-0.147	-1.568	9.7608	-0.0608	15.504	0.0608	-13.0	220.0	112.0	
-0.2156	-1.6366	9.751	-0.2432	15.504	-15.5648	-13.0	222.0	112.0	
-0.196	-1.6072	9.849	-0.2432	15.504	-15.504	-14.0	219.0	112.0	
-0.1274	-1.568	9.8098	-0.0608	15.504	0.0	-13.0	225.0	112.0	
-0.2058	-1.5876	9.8294	-0.1824	-0.0608	-0.1824	-16.0	218.0	116.0	
-0.1862	-1.568	9.8588	-0.1216	-0.0608	15.4432	-13.0	219.0	108.0	
-0.2058	-1.617	9.7608	-0.2432	-0.0608	15.504	-13.0	219.0	116.0	
-0.2254	-1.5974	9.6922	-0.1216	-0.0608	15.504	-19.0	218.0	112.0	
-0.196	-1.617	9.8098	-0.1824	15.504	-15.504	-15.0	220.0	112.0	
-0.2352	-1.6856	9.7216	-0.1216	15.504	-15.5648	-16.0	220.0	112.0	
-0.392	-2.5186	9.6138	-0.2432	-0.0608	15.3824	35.0	210.0	120.0	
-0.4508	-2.5088	9.702	-0.1824	-0.0608	-0.0608	34.0	210.0	124.0	
-0.3724	-2.4696	9.6628	-0.1824	15.504	-15.4432	29.0	212.0	128.0	
-0.392	-2.5578	9.7118	-0.1824	15.504	0.1216	32.0	210.0	124.0	
-0.4312	-2.5774	9.653	-0.1216	-0.0608	15.4432	36.0	212.0	124.0	
-0.4312	-2.5578	9.5844	-0.0608	15.504	0.1824	34.0	210.0	124.0	
-0.4116	-2.5382	9.5354	-0.1216	-0.0608	15.504	34.0	210.0	124.0	
-0.3626	-2.4794	9.5746	-0.1824	15.504	-15.4432	35.0	214.0	124.0	
-0.4214	-2.6068	9.7804	-0.1216	15.504	0.0608	34.0	212.0	124.0	
-0.4018	-2.6166	9.6628	-0.1216	-0.0608	15.4432	32.0	210.0	128.0	
0.0882	-5.2234	-8.8396	-0.1216	15.504	-15.504	56.0	58.0	308.0	
0.2058	-5.1254	-8.82	-0.0608	-0.0608	-0.2432	55.0	56.0	312.0	
0.1372	-5.1352	-8.918	-0.1216	15.504	0.0	51.0	54.0	308.0	
0.1862	-5.2136	-8.8494	-0.1824	15.504	-15.504	54.0	55.0	308.0	
0.1176	-5.145	-8.8004	-0.1216	15.504	0.0	55.0	57.0	312.0	
0.1078	-5.1842	-8.8494	-0.0608	15.504	-15.5648	57.0	56.0	308.0	
0.1568	-5.2234	-8.8592	-0.2432	15.504	0.0	54.0	53.0	312.0	
0.196	-5.1548	-8.7318	-0.0608	-0.0608	-0.0608	58.0	57.0	312.0	
0.1274	-5.145	-8.8886	-0.1824	-0.0608	-0.0608	58.0	54.0	308.0	
0.2058	-5.2038	-8.8592	0.0608	-15.5648	15.504	56.0	57.0	312.0	
-6.3308	-6.2524	1.4014	25.0496	0.0608	-3.5872	81.0	137.0	188.0	
-7.056	-8.183	4.1356	20.672	31.1904	-24.016	87.0	123.0	208.0	
-4.2728	-8.7318	-0.539	26.144	15.6256	-16.8416	63.0	135.0	164.0	
-5.8506	-7.7322	0.6958	14.592	0.0	6.992	34.0	85.0	140.0	
-4.2238	-7.693	5.3606	-2.3712	-0.0608	2.6752	23.0	120.0	124.0	
-5.4488	-7.399	5.7624	-13.8016	-0.0608	12.16	21.0	130.0	124.0	
